"Kvittonamn","Varugrupp","Pris","Volym","AntalSålda","Alkoholhalt","APK"
"Krombacher Weizen 5,3% 500ml","Specialöl",24.3,500,36,5.3,1.09053497942387
"Old Peculier The Legend 5,6% 500ml","Specialöl",28,500,400,5.6,1
"S:t Eriks APA 5% 330 ml","Specialöl",19.7,330,84958,5,0.83756345177665
"Kallholmen Levande Ale 5,3% 330ml","Specialöl",21.8,330,25492,5.3,0.802293577981651
"Freedom IPA 6,5% 500ml","Specialöl",29,500,3761,6.5,1.12068965517241
"Wisby Oaked Porter 8,7% 330ml","Specialöl",65,330,585,8.7,0.441692307692308
"Kloss Ljus Ale 5% 330ml","Specialöl",28.8,330,120,5,0.572916666666667
"Helsingborg India Pale Ale 5,6% 330","Specialöl",24.8,330,11272,5.6,0.745161290322581
"Kloster13 9% 330ml","Specialöl",32.9,330,168,9,0.90273556231003
"Amager Christianshavn PA 5,5% 500ml","Specialöl",49.4,500,1885,5.5,0.55668016194332
"Hong Kong Dragon's IPA 5,2% 330ml","Specialöl",39.1,330,72,5.2,0.438874680306905
"Det Tredje Ölet 5,4% 330ml","Specialöl",24.9,330,10535,5.4,0.71566265060241
"Mikkeller Cream Ale 4,9% 330ml","Specialöl",27.9,330,189,4.9,0.579569892473118
"Mikkeller Green Gold 7% 330ml","Specialöl",32.9,330,499,7,0.702127659574468
"Wells Banana Bread Beer 5,2% 500ml","Specialöl",29.9,500,2240,5.2,0.869565217391304
"Mikkeller Texas Ranger 6,6% 330ml","Specialöl",36.9,330,216,6.6,0.590243902439024
"Omnipollo Mazarin 5,6% 330ml","Specialöl",28.9,330,9798,5.6,0.639446366782007
"To Øl Reparationsbajer 5,8% 330ml","Specialöl",28.9,330,776,5.8,0.662283737024221
"Rosita Original 5,5% 330ml","Specialöl",28.7,330,48,5.5,0.632404181184669
"Texas Longhorn Anniversary 5,4% 330","Specialöl",26.5,330,1093,5.4,0.672452830188679
"Helsingborgs Lakrits 4,6% 330ml","Specialöl",27.1,330,4886,4.6,0.560147601476015
"Brewdog Punk IPA 5,6% brk 330 ml","Specialöl",23.4,330,830154,5.6,0.78974358974359
"Jonsson Ale 5,8% 500ml","Specialöl",42,500,9548,5.8,0.69047619047619
"Oceanbr Västkust 4,8% 500","Specialöl",29.7,500,15512,4.8,0.808080808080808
"Leufsta Blonde 6% 330ml","Specialöl",25.9,330,9525,6,0.764478764478765
"Helsingborgs Witbier 4,8% 330ml","Specialöl",24.9,330,3035,4.8,0.636144578313253
"Jädraöl Vetefan 5% 330ml","Specialöl",24,330,5157,5,0.6875
"Brooklyn Local 1 9% 750 ml","Specialöl",89,750,28447,9,0.758426966292135
"Oppigårds Indian Tribute 6,6% 330ml","Specialöl",22.9,330,737866,6.6,0.951091703056769
"Röde Orm Skånsk Red Ale 5,8% 330ml","Specialöl",25.9,330,8277,5.8,0.738996138996139
"Jädraöl King Kong 6,5% 330ml","Specialöl",27.7,330,3042,6.5,0.774368231046931
"Hel & Verdoemenis 10,2% 330ml","Specialöl",61.9,330,6,10.2,0.543780290791599
"Södra Pale Ale 5% 330ml","Specialöl",19.9,330,4028,5,0.829145728643216
"Södra IPA 7% 330 ml","Specialöl",23.8,330,26727,7,0.970588235294118
"Barney Flats Oatm Stou 5,7% brk 355","Specialöl",19.9,355,739.014084507042,5.7,1.01683417085427
"Modus Hoperandi IPA 6,8% brk 355 ml","Specialöl",25.9,355,568959.014084507,6.8,0.932046332046332
"Sigtuna East Coast Pale Ale 5% 330","Specialöl",19.9,330,151921,5,0.829145728643216
"Nils Oscar Ctrl Alt Delete 4,5% 330","Specialöl",20,330,2,4.5,0.7425
"Lion Stout 7,5% 330ml","Specialöl",38.4,330,2,7.5,0.64453125
"Red Pig Mexican Ale 5% 330ml","Specialöl",37,330,24,5,0.445945945945946
"Hobgoblin 5,2% 330ml","Specialöl",19.5,330,6,5.2,0.88
"Sitting Bulldog IPA 6,4% 330ml","Specialöl",22.3,330,1105190,6.4,0.947085201793722
"Mohawk Pale Ale 5,5% 330ml","Specialöl",26.9,330,72,5.5,0.674721189591078
"Port Brew Santa's Little Helper 650","Specialöl",99,650,2,0,0
"Nøgne Ø Underlig Jul 500 ml","Specialöl",47.1,500,6,0,0
"Scarborough Fair IPA 6% 500ml","Specialöl",34.2,500,72,6,0.87719298245614
"Virgin Isl Trop Mango 4,5% 355ml","Specialöl",35.1,355,48,4.5,0.455128205128205
"Blanche de Namur 4,5% 330ml","Specialöl",20.4,330,528,4.5,0.727941176470588
"Ridgeway IPA 5,5% 500ml","Specialöl",35.9,500,360,5.5,0.766016713091922
"Eklöws Röda 5,2% 330ml","Specialöl",29.9,330,2032,5.2,0.573913043478261
"Fuller's Black Cab St 4,5% 500ml","Specialöl",24.9,500,2407,4.5,0.903614457831325
"Brutal Bulldog Doub IPA 8,4% 330ml","Specialöl",26.2,330,15812,8.4,1.05801526717557
"Alaskan Smoked Porter 6,5% 650 ml","Specialöl",79,650,32,6.5,0.534810126582278
"Baladin Super 8% 750ml","Specialöl",95,750,48,8,0.631578947368421
"Baladin Nora Birra Egizi 6,8% 750ml","Specialöl",89.9,750,12,6.8,0.567296996662959
"Baladin Isaac Birra Blanca 5% 750ml","Specialöl",89.9,750,108,5,0.417130144605117
"Plain Porter 5% 24x330ml","Specialöl",25,330,16933,5,0.66
"Porterhouse Red Ale 4,4% 24X330ml","Specialöl",25,330,384,4.4,0.5808
"Hop Head Beyond the Pale 5% 330ml","Specialöl",25,330,240,5,0.66
"Gulden Draak 9000 Qu 10,5% 330ml","Specialöl",41.9,330,2354,10.5,0.826968973747017
"Bière du Boucanier C A 6,5% 330ml","Specialöl",33.4,330,76,6.5,0.642215568862275
"Umeå Pale Ale UPA 5,5% 330ml","Specialöl",29.8,330,6692,5.5,0.609060402684564
"Lagunitas New Dogtown PA 5,9% 355ml","Specialöl",22.4,355,1048981.01408451,5.9,0.935044642857143
"Dale's Pale Ale 6,5% brk 355 ml","Specialöl",25.9,355,212046,6.5,0.890926640926641
"Epic Armageddon IPA 6,7% 330 ml","Specialöl",22.9,330,19948,6.7,0.965502183406113
"St Bernardus Tripel 8% 330ml","Specialöl",25.9,330,1512,8,1.01930501930502
"Midtfyns Barley Wine 10% 500ml","Specialöl",54.9,500,12,10,0.910746812386157
"Midtfyns Bryghus IPA 7,3% 500ml","Specialöl",45.9,500,36,7.3,0.79520697167756
"St Austell Admirals Ale 5% 500ml","Specialöl",31.5,500,552,5,0.793650793650794
"St Austell Prop Job IPA 5,5% 500ml","Specialöl",31.9,500,1319,5.5,0.862068965517241
"St Austell Tribute 4,2% 500ml","Specialöl",29.9,500,636,4.2,0.702341137123746
"Amager Wookie IPA 7,2% 500ml","Specialöl",55.9,500,2986,7.2,0.644007155635063
"Kallholmen Levande IPA 5,6% 330ml","Specialöl",24.3,330,22822,5.6,0.760493827160494
"Fl Dog Raging Bitch IPA 8,3% 355ml","Specialöl",33.9,355,1848,8.3,0.869174041297935
"Poppels Brown Ale 4,8% 330ml","Specialöl",22.9,330,10890,4.8,0.691703056768559
"Wisby Stout 5% 330 ml","Specialöl",20.5,330,48332,5,0.804878048780488
"Oude Kriek Boon 6,5% 375 ml","Specialöl",59,375,14251.0133333333,6.5,0.413135593220339
"Lagunitas IPA 6,2% 355ml","Specialöl",22.9,355,680148,6.2,0.961135371179039
"Lagunitas Censored Rich 6,8% 355ml","Specialöl",24.8,355,1538,6.8,0.973387096774194
"Lagunitas Little Sumpin 7,5% 355ml","Specialöl",24.9,355,5533.01408450704,7.5,1.06927710843373
"Boulevard Single W IPA 5,7% 355ml","Specialöl",29.9,355,563.014084507042,5.7,0.676755852842809
"Hook Norton Old Hooky 4,6% 500ml","Specialöl",29.9,500,516,4.6,0.769230769230769
"Hook Norton Flagship 5,3% 500ml","Specialöl",31.9,500,192,5.3,0.830721003134796
"Stroud Brewery Teasel 4,2% 500ml","Specialöl",36.6,500,12,4.2,0.573770491803279
"Cuvée des Lacs de l'Eau 5,2% 250ml","Specialöl",25.3,250,216,5.2,0.513833992094862
"Off The Rails Pale Ale 4,7% 330ml","Specialöl",22.9,330,10828,4.7,0.677292576419214
"Mikkeller Monk's Elixir 10% 330ml","Specialöl",39.9,330,381,10,0.827067669172932
"Shepherd Neame Double St 5,2% 500ml","Specialöl",27.9,500,264,5.2,0.931899641577061
"Shepherd Neame IPA 6,1% 500ml","Specialöl",29,500,648,6.1,1.05172413793103
"Mikkeller Not Anoth Wit 7,6% 330ml","Specialöl",36.9,330,144,7.6,0.679674796747967
"Slottskällans Dubbel IPA 8% 330ml","Specialöl",27,330,5870,8,0.977777777777778
"Grimberg Double-Ambrée 6,5% 330ml","Specialöl",18.9,330,7390,6.5,1.13492063492064
"Grimbergen Blonde 6,7% 330ml","Specialöl",18.9,330,9389,6.7,1.16984126984127
"Eklöws Ljusa 5,2% 330ml","Specialöl",29.9,330,2341,5.2,0.573913043478261
"Poppel Nya Världens IPA 13 6,5% 330","Specialöl",27.7,330,272243,6.5,0.774368231046931
"Värmdö Bryggeri IPA 5,7% 330ml","Specialöl",24.5,330,8783,5.7,0.767755102040816
"BrewDog Dead Pony Club 3,8% 330ml","Specialöl",20.2,330,912,3.8,0.620792079207921
"Big Brown Bastard 6,5% 750ml","Specialöl",67.8,750,381,6.5,0.719026548672566
"Viven Imperial IPA 8% 330ml","Specialöl",33.7,330,116,8,0.783382789317507
"San Gabriel Hefe Weizen 5% 500ml","Specialöl",39.5,500,20,5,0.632911392405063
"Weihenstephan Kristall Wb 5,4% 500","Specialöl",21.9,500,1145,5.4,1.23287671232877
"Störtebeker Provsmakarlåda 6x500ml","Specialöl",145.8,3000,102,4.9,1.0082304526749
"Viven Belgobox 16x330ml","Specialöl",633.6,5280,26,6.3,0.525
"Sigtuna Organic Ale 4,5% 330 ml","Specialöl",19.9,330,452394,4.5,0.746231155778895
"Oceanbrygg Arbetarporter 9% 500ml","Specialöl",51.1,500,1989,9,0.880626223091976
"Helsingborgs Kaffestout 8,5% 330ml","Specialöl",30,330,4289,8.5,0.935
"Leufsta IPA 6% 330ml","Specialöl",24.9,330,12477,6,0.795180722891566
"Lille Bryggeri Double Chili 8% 330","Specialöl",44.9,330,1850,8,0.587973273942094
"Appalachian Amber Ale 6,8% 355ml","Specialöl",52.4,355,18,6.8,0.460687022900763
"River Falls Red Ale 6,2% 355ml","Specialöl",58.1,355,6,6.2,0.378829604130809
"Grebbestad Ostron Port 5,8% 500ml","Specialöl",26.8,500,27375,5.8,1.08208955223881
"Electric Nurse DIPA 8% 330ml","Specialöl",29.9,330,20562,8,0.882943143812709
"Tank 7 Farmhouse Ale 8,5% 355ml","Specialöl",40.5,355,156,8.5,0.745061728395062
"Electric Nurse Pale Ale 4,6% 330ml","Specialöl",22.5,330,402581,4.6,0.674666666666667
"Chimay Gr Rés Jeroboam 9% 3L","Specialöl",459,3000,125,9,0.588235294117647
"Oppigårds Thurbo Double 8,5% 330 ml","Specialöl",26.9,330,417633,8.5,1.04275092936803
"Hornstull Honey Amber 5,5% 330ml","Specialöl",39.9,330,2044,5.5,0.454887218045113
"Vit 5,6% 330ml","Specialöl",20.3,330,24,5.6,0.910344827586207
"Ugly Duck Ama & Cit IPA 5,9% 330ml","Specialöl",29.9,330,743,5.9,0.651170568561873
"Ugly Duck Simco & Chin IPA 5,9% 330","Specialöl",29.9,330,24,5.9,0.651170568561873
"Rye IPA 8,5% 330ml","Specialöl",29.5,330,384,8.5,0.950847457627119
"Lervig Hoppy Joe R Ale 4,7% 330ml","Specialöl",24.3,330,216,4.7,0.638271604938272
"Lervig Betty Brown NBA 4,7% 330ml","Specialöl",24.3,330,169,4.7,0.638271604938272
"Redhook ESB 6,2% 355ml","Specialöl",24.7,355,551.014084507042,6.2,0.891093117408907
"Fire Rock Pale Ale 5,9% 355ml","Specialöl",24.7,355,3631.01408450704,5.9,0.847975708502024
"Redhook Long Hammer IPA 6,2% 355ml","Specialöl",24.8,355,336,6.2,0.8875
"Kriek Mariage Parfait 8% 375ml","Specialöl",69,375,250,8,0.434782608695652
"Mountain Livin Pale 5,7% brk 355ml","Specialöl",22.9,355,11963.014084507,5.7,0.883624454148472
"Poppels Bryggeri APA 5,4% 330ml","Specialöl",23.5,330,554203,5.4,0.758297872340426
"Eskilstuna Engelsk IPA 6% 330ml","Specialöl",26.9,330,5410,6,0.736059479553903
"Eskilstuna Pale Ale 5% 330ml","Specialöl",22.5,330,103,5,0.733333333333333
"Eskilstuna Red Ale 4,7% 330ml","Specialöl",23,330,1216,4.7,0.674347826086957
"Kallholmen Levand D IPA 11 7,3% 330","Specialöl",30.3,330,13888,7.3,0.795049504950495
"Galaxy IPA Single Hop 6,5% 330ml","Specialöl",28.4,330,72,6.5,0.755281690140845
"Omnipollo Leon 6,5% 750 ml","Specialöl",49.9,750,163951,6.5,0.976953907815631
"Green's Dark Glutenfri 5,8% 330 ml","Specialöl",26.9,330,2,5.8,0.711524163568773
"Green's Blond Glutenfri 5,8% 330 ml","Specialöl",26.4,330,3921,5.8,0.725
"Beer Here SoD 7,5% 500 ml","Specialöl",24.9,500,280,7.5,1.50602409638554
"South Plains IPA 6,7% 330ml","Specialöl",19.9,330,5746,6.7,1.11105527638191
"Löjtnant Malcolm 4,9% 500ml","Specialöl",29.2,500,2528,4.9,0.839041095890411
"Jädraöl Jipa 6,5% 330ml","Specialöl",27.7,330,6,6.5,0.774368231046931
"Poppels Brygg Belgisk Wit 4,7% 330","Specialöl",19.9,330,54062,4.7,0.779396984924623
"Lata Dagars IPA Ängöl 6% 500ml","Specialöl",33.9,500,32411,6,0.884955752212389
"Höganäs APA 5,6% 330ml","Specialöl",28.7,330,33070,5.6,0.64390243902439
"Svaneke Red Hot Chili 5% 330ml","Specialöl",24.3,330,72,5,0.679012345679012
"Svaneke IPA 6% 330ml","Specialöl",26.3,330,412,6,0.752851711026616
"Svaneke Choko Stout 5,7% 330ml","Specialöl",25.3,330,144,5.7,0.743478260869565
"Thomas Cr Cla Five IPA 5,5% 355ml","Specialöl",50.4,355,24,5.5,0.387400793650794
"Nigerian Guinness Ex F S 7,5% 325","Specialöl",35.9,325,796,7.5,0.678969359331476
"Klackabackens IPA 6,2% 330ml","Specialöl",25.2,330,9942,6.2,0.811904761904762
"Sleepy Bulldog Summer PA 5% 330ml","Specialöl",20.9,330,94276,5,0.789473684210526
"Bullseye Best Bitter 6,1% 500ml","Specialöl",32.4,500,3011,6.1,0.941358024691358
"Wild Boar Mild Ale 4,8% 500ml","Specialöl",31.9,500,3413,4.8,0.752351097178683
"Folka Red Pale Ale 6,1% 500ml","Specialöl",32.4,500,7054,6.1,0.941358024691358
"Lost Abbey Cuvee De Tomme 11% 375ml","Specialöl",139,375,1.01333333333333,11,0.296762589928058
"Fuller's London Pride 4,7% 330ml","Specialöl",17.9,330,490230,4.7,0.866480446927374
"Eskilstuna Dubbel IPA 8,7% 330ml","Specialöl",33.9,330,10812,8.7,0.846902654867256
"Spitfire Ale 4,5% 500ml","Specialöl",22.9,500,2592,4.5,0.982532751091703
"Störtebeker Hanse-Porter 4% 500ml","Specialöl",21.7,500,180,4,0.921658986175115
"La Mi Dòna Bionda Dopp 6,5% 500ml","Specialöl",39.9,500,726,6.5,0.81453634085213
"La Volpina Rossa Doppio 6,5% 500ml","Specialöl",39.9,500,1784,6.5,0.81453634085213
"Nut Birra Divina 6,5% 750ml","Specialöl",131.6,750,60,6.5,0.370440729483283
"Aviator Ale 5,2% 330ml","Specialöl",17.6,330,192,5.2,0.975
"South Plains APA 6% 330ml","Specialöl",19.9,330,3567,6,0.994974874371859
"South Plains HOW 5,5% 330ml","Specialöl",19.9,330,2833,5.5,0.912060301507538
"Störtebek Roggen-Weizen 5,4% 500ml","Specialöl",24.9,500,239,5.4,1.08433734939759
"Lagunitas Maximus IPA 8,2% 355 ml","Specialöl",25.4,355,936112,8.2,1.14606299212598
"S:t Eriks Rauchbier 5,5% 330 ml","Specialöl",25.9,330,1181,5.5,0.700772200772201
"BrewDog Dead Pony Club 3,8% brk 330","Specialöl",20.9,330,334043,3.8,0.6
"Stoodley Stout 4,8% 330 ml","Specialöl",20.9,330,88181,4.8,0.757894736842105
"Sinebrychoff Porter 7,2% 330 ml","Specialöl",19.9,330,615,7.2,1.19396984924623
"Old Empire IPA 5,7% 500ml","Specialöl",25.9,500,2364,5.7,1.1003861003861
"Byaregårdens IPA 6,4% 330ml","Specialöl",23.5,330,10174,6.4,0.898723404255319
"Byaregårdens Brown Ale 5,5% 330ml","Specialöl",23.3,330,3229,5.5,0.778969957081545
"Celt Dark Age 4% 500ml","Specialöl",23.9,500,24,4,0.836820083682008
"Omnipollo Hypnopompa 11% 330 ml","Specialöl",59,330,13,11,0.615254237288136
"Fuller's Wild River 4,5% 500ml","Specialöl",24.9,500,1372,4.5,0.903614457831325
"Fade to Black Volume V 7,8% 355","Specialöl",30.4,355,1.01408450704225,7.8,0.910855263157895
"Adelsö Boom Boom Blonde 5% 330ml","Specialöl",25.5,330,16808,5,0.647058823529412
"Adelsö Rocket IPA 6% 330ml","Specialöl",27.8,330,14527,6,0.712230215827338
"Störtebeker Atlantik 5,1% 330ml","Specialöl",16.9,330,648,5.1,0.99585798816568
"Oppigårds Thurbo Stout 8,7% 330","Specialöl",28.9,330,126696,8.7,0.993425605536332
"Eklöws Extra IPA 6,5% 330ml","Specialöl",29.8,330,2457,6.5,0.719798657718121
"Baltic Stout Imperial 7% 500ml","Specialöl",30.3,500,3778,7,1.15511551155116
"Blend no 11 Extreme Trinity 10% 180","Specialöl",70.1,180,9,10,0.256776034236805
"AMA Bionda 6% 355ml","Specialöl",29.9,355,504,6,0.712374581939799
"Adnams Innovation 6,7% 330ml","Specialöl",23.9,330,252,6.7,0.92510460251046
"Wermlands Ale 5,6% 330ml","Specialöl",22.4,330,34615,5.6,0.825
"Baladin Lune 10 11,5% 500ml","Specialöl",199.9,500,96,11.5,0.287643821910955
"Titan IPA 7,1% 355ml","Specialöl",27.9,355,2862,7.1,0.903405017921147
"Jönköpings 1971 5% 330ml","Specialöl",26.9,330,313,5,0.613382899628253
"Heen & Weer Triple-ish 9,2% 330ml","Specialöl",40,330,97,9.2,0.759
"Mooi & Meedogenloos 10,2% 330ml","Specialöl",44.1,330,94,10.2,0.763265306122449
"Kasteel Cuvee de Chateau 11% 330ml","Specialöl",43.4,330,72,11,0.836405529953917
"Namyslow Biate Pszeniczne 5% 500ml","Specialöl",34,500,20,5,0.735294117647059
"Daleside Blonde Ale 4,3% 500ml","Specialöl",33.1,500,38,4.3,0.649546827794562
"Daleside Old Leg Over 4,1% 500ml","Specialöl",33.6,500,96,4.1,0.610119047619048
"Evil Twin Molotov Cockt 13% 355ml","Specialöl",43.9,355,78,13,1.05125284738041
"Evil Twin Yang 10% 355ml","Specialöl",39.9,355,521.014084507042,10,0.889724310776942
"Eskilstuna Öl Belgisk IPA 7% 330ml","Specialöl",27.5,330,1345,7,0.84
"Moose Juice Imperial Stout 9,1% 500","Specialöl",44,500,3085,9.1,1.03409090909091
"Ko I Norr English IPA 7,5% 500ml","Specialöl",38.1,500,5170,7.5,0.984251968503937
"Sheriffen APA 5,6% 330ml","Specialöl",29.9,330,150,5.6,0.618060200668896
"Blend no.12 Invin Gueze 6,6% 750ml","Specialöl",397.7,750,15,6.6,0.124465677646467
"Extra Special Bitter 5,5% 330ml","Specialöl",23.9,330,6220,5.5,0.759414225941423
"Gathenhielm Constantia 6,4% 500ml","Specialöl",34.2,500,2896,6.4,0.935672514619883
"Gathenhielm Triumphant 5,3% 500ml","Specialöl",33.9,500,3206,5.3,0.781710914454277
"Gathenhielm Revenge 5,1% 500ml","Specialöl",34,500,2548,5.1,0.75
"Byaregårdens Fägnad 5,5% 3x330ml","Specialöl",87.9,990,2,5.5,0.619453924914676
"Mc Chouffe Brune 8% 330ml","Specialöl",25.9,330,558,8,1.01930501930502
"Lagunitas Hop Stoopid 8% 650ml","Specialöl",81.8,650,2,8,0.635696821515892
"Bommen & Granaten 11,9% 330ml","Specialöl",62.7,330,234,11.9,0.626315789473684
"Moosehead Pale Ale 5% 341ml","Specialöl",36.6,341,48.0058651026393,5,0.465846994535519
"Tui East India Pale Ale 4% 330ml","Specialöl",38.2,330,48,4,0.345549738219895
"Rådanäs Amerikansk Bitter 4,5% 330","Specialöl",21.9,330,10374,4.5,0.678082191780822
"Gaffel Kölsch 4,8% 330ml","Specialöl",18.9,330,577,4.8,0.838095238095238
"de Molen Citra Pale Ale 4,8% 330ml","Specialöl",22.9,330,114031,4.8,0.691703056768559
"BrewDog 5 A.M. Saint 5% 330 ml","Specialöl",22.9,330,1386,5,0.720524017467249
"Dugges Avenyn Ale 5% 330 ml","Specialöl",22.9,330,74101,5,0.720524017467249
"Omnipollo Nebuchadnezzar 8,5% 330ml","Specialöl",29.9,330,212484,8.5,0.938127090301003
"Brooklyn Black Choc Stout 10% 355","Specialöl",23.5,355,2,10,1.51063829787234
"Södra Almighty 4,3% 330 ml brk","Specialöl",20.9,330,197558,4.3,0.678947368421053
"S:t Eriks Organic Ale 4,7% 330 ml","Specialöl",19.9,330,2504,4.7,0.779396984924623
"Nääs Stout 4,5% 330ml","Specialöl",25.9,330,1981,4.5,0.573359073359073
"Nääs IPA 6,3% 330ml","Specialöl",25.9,330,15039,6.3,0.802702702702703
"Nääs Engelsk Bitter Ale 4,8% 330ml","Specialöl",25.2,330,904,4.8,0.628571428571429
"Stronzo Saison Noir 9,3% 750ml","Specialöl",121.6,750,34,9.3,0.573601973684211
"961 Beer Leban Pale A 6,3% 330ml","Specialöl",22.9,330,600,6.3,0.907860262008734
"961 Beer Porter 5,6% 330ml","Specialöl",20.8,330,63,5.6,0.888461538461538
"961 Beer Red Ale 5,5% 330ml","Specialöl",20.8,330,192,5.5,0.872596153846154
"961 Beer Witbier 5,3% 330ml","Specialöl",19.5,330,168,5.3,0.896923076923077
"Ghisa Smoked Stout 8,5% 330ml","Specialöl",55.7,330,48,8.5,0.50359066427289
"Lance 4% 500ml","Specialöl",57,500,12,4,0.350877192982456
"La Blonde 5,8% 330ml","Specialöl",25.7,330,24,5.8,0.744747081712062
"Gilda American Pale Ale 4,9% 330ml","Specialöl",37.9,330,22,4.9,0.42664907651715
"La Rousse 6,5% 330ml","Specialöl",25.9,330,148,6.5,0.828185328185328
"Ichtegems GC Cuvée 11 6,5% 750 ml","Specialöl",64.9,750,2,6.5,0.75115562403698
"BrewDog Jack Hammer IPA 7,2% 330","Specialöl",24.9,330,1926,7.2,0.95421686746988
"Coronado Islander IPA 7% 355ml","Specialöl",32.6,355,736,7,0.762269938650307
"15 Minutes of Flame IPA 5,5% 330ml","Specialöl",29.7,330,565,5.5,0.611111111111111
"BrewDog Cocoa Psycho 10% 330ml","Specialöl",65,330,792,10,0.507692307692308
"Brygghus 19 Ambassadeur 5,9% 330ml","Specialöl",23.9,330,7041,5.9,0.814644351464435
"La Trappe Puur 4,7% 330 ml","Specialöl",20.9,330,7813,4.7,0.742105263157895
"Bishops Finger Kent Ale 5,2% brk440","Specialöl",20.9,440,248820,5.2,1.09473684210526
"Twisted Thistle IPA 5,6% 330ml","Specialöl",19.9,330,358297,5.6,0.928643216080402
"Old Speckled Hen 5% 355 ml","Specialöl",15.9,355,32946,5,1.11635220125786
"Founders Centennial IPA 7,2% 355 ml","Specialöl",25.9,355,164017.014084507,7.2,0.986872586872587
"137ans India Pale Ale 7,4% 330ml","Specialöl",47.4,330,122,7.4,0.515189873417721
"Omnipollo/Prairie Potlatch 7% 375ml","Specialöl",59.9,375,3.01333333333333,7,0.438230383973289
"Sassy Lassy Pale Ale 5% 330ml","Specialöl",22.9,330,2434,5,0.720524017467249
"Camden Pale Ale 4% 330 ml","Specialöl",19.9,330,93737,4,0.663316582914573
"Founders All Day IPA 4,7% 355ml","Specialöl",26.9,355,240,4.7,0.620260223048327
"Founders Centennial IPA 7,2% 355ml","Specialöl",29.9,355,192,7.2,0.854849498327759
"Founders Porter 6,5% 355ml","Specialöl",28.9,355,906,6.5,0.798442906574394
"Liefmans Goudenband 8% 750ml","Specialöl",90.1,750,200,8,0.665926748057714
"117 Grythyttan IPA 5,8% 330ml","Specialöl",21,330,5337,5.8,0.911428571428571
"Innis Gunn Toasted IPA 5,6% 330ml","Specialöl",17.9,330,547597,5.6,1.03240223463687
"Nils Oscar Belgo Pale Ale 4,4% 330","Specialöl",19.9,330,17,4.4,0.72964824120603
"Hop Hound Pale Ale 4,7% 330ml","Specialöl",29,330,7110,4.7,0.534827586206897
"Eklöws Bourbon Imp Stout 9,5% 330ml","Specialöl",37.5,330,469,9.5,0.836
"Umeå Special Bitter 5,3% 330ml","Specialöl",29.9,330,2413,5.3,0.58494983277592
"Eklöws Imperial Stout 8,5% 330ml","Specialöl",37.4,330,3,8.5,0.75
"Finn Brygghus APA 5,2% 330ml","Specialöl",23.5,330,21389,5.2,0.730212765957447
"Finn Brygghus BA 4,9% 330ml","Specialöl",24.5,330,10864,4.9,0.66
"Poppels Dubbel IPA 8% 330ml","Specialöl",30.4,330,108899,8,0.868421052631579
"Rådanäs IPA 6,6% 330ml","Specialöl",27.9,330,23152,6.6,0.780645161290323
"Shogun Bulldog JIPA 7,2% 330ml","Specialöl",24.9,330,16639,7.2,0.95421686746988
"Castaway Choc Ora IPA 7,5% 355","Specialöl",53.8,355,186,7.5,0.494888475836431
"City and Colour 11,5% 750ml","Specialöl",250.7,750,44,11.5,0.344036697247706
"Quarantot Double IPA 8% 330ml","Specialöl",52.5,330,12,8,0.502857142857143
"Midtfyns Provsmaklåda12 x 500","Specialöl",592.8,6000,85,8.3,0.840080971659919
"Jönköpings Saison 5,5% 330ml","Specialöl",28.2,330,1720,5.5,0.643617021276596
"Rådanäs Bourbon Mash Beer 6,7% 330","Specialöl",29.9,330,7694,6.7,0.739464882943144
"Slottskällan Imper Stout 13 9% 330","Specialöl",33.1,330,3274,9,0.897280966767372
"Electric Nurse Imper Stout 8,5% 330","Specialöl",35.5,330,2935,8.5,0.790140845070422
"Flying Couch Dude APA 5,5% 500ml","Specialöl",55.5,500,969,5.5,0.495495495495495
"Hög Standard Skånsk V IPA 7% 330ml","Specialöl",29.5,330,7598,7,0.783050847457627
"Köpingshus Rödh 4,5% 500ml","Specialöl",32.4,500,1002,4.5,0.694444444444444
"Adelsö R.E.S.P.E.C.T. Sto 6,4% 330","Specialöl",31.8,330,3558,6.4,0.664150943396226
"Charta 77s Punköl 4,5% 500ml","Specialöl",32.4,500,1478,4.5,0.694444444444444
"Herman Hedning Behemothi 4,5% 500ml","Specialöl",35.4,500,1638,4.5,0.635593220338983
"H Hedning Bitter Kränkt 5,6% 500ml","Specialöl",36.7,500,2363,5.6,0.762942779291553
"Smålands Gyllene 6,8% 330ml","Specialöl",29.9,330,7482,6.8,0.750501672240803
"Sunset Blonde 4,8% 330ml","Specialöl",26,330,1169,4.8,0.609230769230769
"Westervik IPA 6,2% 330ml","Specialöl",29.6,330,2071,6.2,0.691216216216216
"Midnight Porter 8% 330ml","Specialöl",33.2,330,910,8,0.795180722891566
"Long Play Pale Ale 5,4% 330ml","Specialöl",28.7,330,6273,5.4,0.620905923344948
"Timmermans Kriek 4% 250 ml","Specialöl",18.9,250,133246,4,0.529100529100529
"Fullers London Pride 4,7% 500ml","Specialöl",24.9,500,3365,4.7,0.943775100401606
"Chimay Dorée Goud 4,8% 330 ml","Specialöl",25.9,330,696,4.8,0.611583011583012
"New Belgium Fat Tire 5,2% brk 355ml","Specialöl",20.9,355,356658,5.2,0.883253588516746
"Saku Modu 4% 500ml","Specialöl",31.2,500,78,4,0.641025641025641
"Oude Lambiek 5% 750 ml","Specialöl",159.2,750,2,5,0.235552763819096
